Timestamp,High/Low,Pred(Ft),Pred(cm)
2021-01-01 05:21:00+00:00,H,6.77,206
2021-01-01 11:28:00+00:00,L,0.44,13
2021-01-01 17:29:00+00:00,H,7.55,230
2021-01-02 00:01:00+00:00,L,-0.39,-12
2021-01-02 06:04:00+00:00,H,6.97,212
2021-01-02 12:14:00+00:00,L,0.32,10
2021-01-02 18:15:00+00:00,H,7.51,229
2021-01-03 00:44:00+00:00,L,-0.39,-12
2021-01-03 06:50:00+00:00,H,7.18,219
2021-01-03 13:04:00+00:00,L,0.21,6
2021-01-03 19:05:00+00:00,H,7.39,225
2021-01-04 01:31:00+00:00,L,-0.34,-10
2021-01-04 07:40:00+00:00,H,7.36,224
2021-01-04 14:00:00+00:00,L,0.12,4
2021-01-04 19:59:00+00:00,H,7.2,219
2021-01-05 02:24:00+00:00,L,-0.24,-7
2021-01-05 08:33:00+00:00,H,7.51,229
2021-01-05 15:01:00+00:00,L,0.02,1
2021-01-05 20:58:00+00:00,H,6.99,213
2021-01-06 03:20:00+00:00,L,-0.12,-4
2021-01-06 09:31:00+00:00,H,7.64,233
2021-01-06 16:05:00+00:00,L,-0.12,-4
2021-01-06 22:01:00+00:00,H,6.81,208
2021-01-07 04:20:00+00:00,L,-0.03,-1
2021-01-07 10:32:00+00:00,H,7.76,237
2021-01-07 17:09:00+00:00,L,-0.3,-9
2021-01-07 23:08:00+00:00,H,6.72,205
2021-01-08 05:22:00+00:00,L,0.0,0
2021-01-08 11:34:00+00:00,H,7.9,241
2021-01-08 18:12:00+00:00,L,-0.52,-16
2021-01-09 00:14:00+00:00,H,6.75,206
2021-01-09 06:24:00+00:00,L,-0.03,-1
2021-01-09 12:36:00+00:00,H,8.05,245
2021-01-09 19:13:00+00:00,L,-0.75,-23
2021-01-10 01:17:00+00:00,H,6.87,209
2021-01-10 07:24:00+00:00,L,-0.11,-3
2021-01-10 13:35:00+00:00,H,8.19,250
2021-01-10 20:10:00+00:00,L,-0.94,-29
2021-01-11 02:15:00+00:00,H,7.01,214
2021-01-11 08:21:00+00:00,L,-0.21,-6
